block_lot,sale_day,declared_profit,sale_profit,property_type,sold_part,city,build_year,building_mr,rooms_number,rami_source
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030438-0035-008-00,2025-03-18,186363,186363,דירה בבית קומות,0.09,ירושלים,1970,66,3.0,ירושלים - 18.03.25-22.03.25.xls
030010-0029-010-00,2025-03-20,1216000,1216000,דירה בבית קומות,0.396,ירושלים,1910,343,10.5,ירושלים - 18.03.25-22.03.25.xls
030049-0155-002-00,2025-03-18,1038333,1038333,דירה בבית קומות,0.333,ירושלים,1930,75,3.5,ירושלים - 18.03.25-22.03.25.xls
030049-0155-002-00,2025-03-18,1038333,1038333,דירה בבית קומות,0.333,ירושלים,1930,75,3.5,ירושלים - 18.03.25-22.03.25.xls
030049-0155-002-00,2025-03-18,1038333,1038333,דירה בבית קומות,0.333,ירושלים,1930,75,3.5,ירושלים - 18.03.25-22.03.25.xls
029937-0022-022-00,2025-03-20,3870000,3870000,דירה בבית קומות,1.0,ירושלים,2010,106,5.0,ירושלים - 18.03.25-22.03.25.xls
030525-0015-002-00,2025-03-20,1400000,1400000,דירה בבית קומות,0.01,ירושלים,2028,95,3.0,ירושלים - 18.03.25-22.03.25.xls
030298-0012-009-00,2025-03-25,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,150000,150000,דירה בבית קומות,0.033,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,150000,150000,דירה בבית קומות,0.033,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,150000,150000,דירה בבית קומות,0.033,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,150000,150000,דירה בבית קומות,0.033,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,150000,150000,דירה בבית קומות,0.033,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
030298-0012-009-00,2025-03-25,150000,150000,דירה בבית קומות,0.033,ירושלים,1970,110,4.0,ירושלים - 23.03.25-25.03.25.xls
028046-0017-003-00,2025-03-25,1150000,1150000,דירה בבית קומות,1.0,ירושלים,1970,23,2.0,ירושלים - 23.03.25-25.03.25.xls
030109-0159-000-00,2025-03-25,540000,540000,דירה בבית קומות,0.02,ירושלים,1950,120,5.0,ירושלים - 23.03.25-25.03.25.xls
030187-0036-069-00,2025-03-25,3030000,3030000,דירה בבית קומות,1.0,ירושלים,2025,88,3.0,ירושלים - 23.03.25-25.03.25.xls
030185-0085-002-00,2025-03-25,2050000,2050000,דירה בבית קומות,1.0,ירושלים,1997,111,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,855000,855000,דירה בבית קומות,0.25,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,366428,366428,דירה בבית קומות,0.107,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,366428,366428,דירה בבית קומות,0.107,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,366428,366428,דירה בבית קומות,0.107,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,366428,366428,דירה בבית קומות,0.107,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,366428,366428,דירה בבית קומות,0.107,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,3420000,366428,דירה בבית קומות,0.107,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030341-0235-013-00,2025-03-25,366428,366428,דירה בבית קומות,0.107,ירושלים,1970,100,4.0,ירושלים - 23.03.25-25.03.25.xls
030187-0035-065-00,2025-03-25,3606000,3606000,דירה בבית קומות,1.0,ירושלים,2030,103,4.0,ירושלים - 23.03.25-25.03.25.xls
031267-0033-013-00,2025-03-25,5200000,5200000,דירה בבית קומות,1.0,ירושלים,2025,125,5.0,ירושלים - 23.03.25-25.03.25.xls
030091-0055-003-00,2025-03-25,2200000,2200000,דירה בבית קומות,1.0,ירושלים,1970,30,2.0,ירושלים - 23.03.25-25.03.25.xls
030342-0134-002-00,2025-03-25,480000,480000,דירה בבית קומות,0.2,ירושלים,1970,72,3.0,ירושלים - 23.03.25-25.03.25.xls
030342-0134-002-00,2025-03-25,480000,480000,דירה בבית קומות,0.2,ירושלים,1970,72,3.0,ירושלים - 23.03.25-25.03.25.xls
030342-0134-002-00,2025-03-25,480000,480000,דירה בבית קומות,0.2,ירושלים,1970,72,3.0,ירושלים - 23.03.25-25.03.25.xls
030342-0134-002-00,2025-03-25,480000,480000,דירה בבית קומות,0.2,ירושלים,1970,72,3.0,ירושלים - 23.03.25-25.03.25.xls
030342-0134-002-00,2025-03-25,480000,480000,דירה בבית קומות,0.2,ירושלים,1970,72,3.0,ירושלים - 23.03.25-25.03.25.xls
030289-0010-040-00,2025-03-25,3934810,1967405,דירה בבית קומות,0.5,ירושלים,2029,98,4.0,ירושלים - 23.03.25-25.03.25.xls
030289-0010-040-00,2025-03-25,3934810,1967405,דירה בבית קומות,0.5,ירושלים,2029,98,4.0,ירושלים - 23.03.25-25.03.25.xls
030710-0088-027-00,2025-03-25,5300000,5300000,קוטג' חד משפחתי,1.0,ירושלים,1996,168,5.0,ירושלים - 23.03.25-25.03.25.xls
030730-0007-102-00,2025-03-25,3700000,3700000,דירה בבית קומות,1.0,ירושלים,1999,50,4.0,ירושלים - 23.03.25-25.03.25.xls
030569-0045-000-00,2025-03-25,7700000,7700000,דירה בבית קומות,1.0,ירושלים,2003,215,8.0,ירושלים - 23.03.25-25.03.25.xls
030194-0092-079-00,2025-03-25,1091900,1091900,דירה בבית קומות,0.179,ירושלים,2006,125,5.0,ירושלים - 23.03.25-25.03.25.xls
030194-0092-079-00,2025-03-25,5008000,5008000,דירה בבית קומות,0.821,ירושלים,2006,125,5.0,ירושלים - 23.03.25-25.03.25.xls
030025-0003-003-00,2025-03-25,3675000,3675000,דירה בבית קומות,0.5,ירושלים,1950,87,4.0,ירושלים - 23.03.25-25.03.25.xls
030025-0003-003-00,2025-03-25,918750,918750,דירה בבית קומות,0.125,ירושלים,1950,87,4.0,ירושלים - 23.03.25-25.03.25.xls
030025-0003-003-00,2025-03-25,918750,918750,דירה בבית קומות,0.125,ירושלים,1950,87,4.0,ירושלים - 23.03.25-25.03.25.xls
030025-0003-003-00,2025-03-25,918750,918750,דירה בבית קומות,0.125,ירושלים,1950,87,4.0,ירושלים - 23.03.25-25.03.25.xls
030025-0003-003-00,2025-03-25,918750,918750,דירה בבית קומות,0.125,ירושלים,1950,87,4.0,ירושלים - 23.03.25-25.03.25.xls
030428-0006-105-00,2025-03-26,3126271,3126271,דירה בבית קומות,1.0,ירושלים,2031,106,4.0,ירושלים - 26.03.25-28.03.25.xls
030428-0006-080-00,2025-03-26,3205085,3205085,דירה בבית קומות,1.0,ירושלים,2031,106,4.0,ירושלים - 26.03.25-28.03.25.xls
030115-0010-001-00,2025-03-26,2660000,2660000,דירה בבית קומות,1.0,ירושלים,1950,73,3.0,ירושלים - 26.03.25-28.03.25.xls
030287-0071-011-00,2025-03-26,1403880,1403880,דירה בבית קומות,1.0,ירושלים,2028,76,3.0,ירושלים - 26.03.25-28.03.25.xls
030413-0098-010-00,2025-03-26,2045000,2045000,דירה בבית קומות,1.0,ירושלים,1970,73,3.0,ירושלים - 26.03.25-28.03.25.xls
030261-0183-053-00,2025-03-26,4792000,4792000,דירה בבית קומות,1.0,ירושלים,2029,95,4.0,ירושלים - 26.03.25-28.03.25.xls
028048-0055-041-00,2025-03-26,606666,606666,דירה בבית קומות,0.333,ירושלים,1970,58,3.0,ירושלים - 26.03.25-28.03.25.xls
028048-0055-041-00,2025-03-26,606666,606666,דירה בבית קומות,0.333,ירושלים,1970,58,3.0,ירושלים - 26.03.25-28.03.25.xls
028048-0055-041-00,2025-03-26,606666,606666,דירה בבית קומות,0.333,ירושלים,1970,58,3.0,ירושלים - 26.03.25-28.03.25.xls
030643-0041-336-00,2025-03-26,1974000,1974000,דירה בבית קומות,1.0,ירושלים,2027,66,3.0,ירושלים - 26.03.25-28.03.25.xls
030204-0013-014-00,2025-03-26,1900000,1900000,דירה בבית קומות,1.0,ירושלים,1960,58,2.0,ירושלים - 26.03.25-28.03.25.xls
030415-0212-015-00,2025-03-26,2165000,2165000,דירה בבית קומות,1.0,ירושלים,1970,52,3.0,ירושלים - 26.03.25-28.03.25.xls
030428-0006-041-00,2025-03-26,2016189,2016189,דירה בבית קומות,1.0,ירושלים,2031,53,2.0,ירושלים - 26.03.25-28.03.25.xls
030200-0010-005-00,2025-03-26,1000000,1000000,דירה בבית קומות,0.5,ירושלים,1960,36,2.0,ירושלים - 26.03.25-28.03.25.xls
030289-0010-114-00,2025-03-26,2724405,2724405,דירה בבית קומות,0.5,ירושלים,2029,130,5.0,ירושלים - 26.03.25-28.03.25.xls
030289-0010-119-00,2025-03-26,2170405,2170405,דירה בבית קומות,0.5,ירושלים,2029,98,4.0,ירושלים - 26.03.25-28.03.25.xls
030439-0017-026-00,2025-03-26,1883000,1883000,דירה בבית קומות,1.0,ירושלים,1960,44,3.0,ירושלים - 26.03.25-28.03.25.xls
029935-0026-013-00,2025-03-26,2940000,2940000,דירה בבית קומות,1.0,ירושלים,2002,91,4.0,ירושלים - 26.03.25-28.03.25.xls
030090-0002-007-00,2025-03-26,1945000,1945000,דירה בבית קומות,1.0,ירושלים,2024,36,2.0,ירושלים - 26.03.25-28.03.25.xls
030150-0047-019-00,2025-03-26,3000000,3000000,דירה בבית קומות,1.0,ירושלים,2027,81,3.0,ירושלים - 26.03.25-28.03.25.xls
030236-0087-018-00,2025-03-26,5000000,5000000,דירה בבית קומות,1.0,ירושלים,1970,85,5.0,ירושלים - 26.03.25-28.03.25.xls
030157-0103-050-00,2025-03-26,4226000,4226000,דירה בבית קומות,1.0,ירושלים,2028,105,4.5,ירושלים - 26.03.25-28.03.25.xls
030045-0051-001-00,2025-03-26,3800000,3800000,דירה בבית קומות,1.0,ירושלים,2017,84,4.0,ירושלים - 26.03.25-28.03.25.xls
030230-0099-045-00,2025-03-26,2665000,2665000,דירה בבית קומות,1.0,ירושלים,2003,73,3.0,ירושלים - 26.03.25-28.03.25.xls
030074-0441-053-00,2025-03-26,8263200,8263200,דירה בבית קומות,1.0,ירושלים,2031,160,5.0,ירושלים - 26.03.25-28.03.25.xls
030116-0122-069-00,2025-03-26,8436004,8436004,דירה בבית קומות,1.0,ירושלים,2028,193,6.0,ירושלים - 26.03.25-28.03.25.xls
030025-0117-006-00,2025-03-27,4950000,4950000,דירה בבית קומות,1.0,ירושלים,1930,64,3.0,ירושלים - 26.03.25-28.03.25.xls
030025-0117-008-00,2025-03-27,4950000,4950000,דירה בבית קומות,1.0,ירושלים,1930,64,3.0,ירושלים - 26.03.25-28.03.25.xls
030157-0103-064-00,2025-03-27,3824000,3824000,דירה בבית קומות,1.0,ירושלים,2028,96,4.0,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,72000,72000,דירה בבית קומות,0.066,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,51428,51428,דירה בבית קומות,0.047,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,51428,51428,דירה בבית קומות,0.047,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,72000,72000,דירה בבית קומות,0.066,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,51428,51428,דירה בבית קומות,0.047,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,51428,51428,דירה בבית קומות,0.047,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,51428,51428,דירה בבית קומות,0.047,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,72000,72000,דירה בבית קומות,0.066,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,72000,72000,דירה בבית קומות,0.066,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,51428,51428,דירה בבית קומות,0.047,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,72000,72000,דירה בבית קומות,0.066,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,51428,51428,דירה בבית קומות,0.047,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030413-0083-901-00,2025-03-27,360000,360000,דירה בבית קומות,0.333,ירושלים,1990,58,2.5,ירושלים - 26.03.25-28.03.25.xls
030246-0003-016-00,2025-03-26,1012500,1012500,דירה בבית קומות,0.25,ירושלים,1970,83,4.0,ירושלים - 26.03.25-28.03.25.xls
030246-0003-016-00,2025-03-26,556875,556875,דירה בבית קומות,0.137,ירושלים,1970,83,4.0,ירושלים - 26.03.25-28.03.25.xls
030246-0003-016-00,2025-03-26,1012500,1012500,דירה בבית קומות,0.25,ירושלים,1970,83,4.0,ירושלים - 26.03.25-28.03.25.xls
030246-0003-016-00,2025-03-26,1012500,1012500,דירה בבית קומות,0.25,ירושלים,1970,83,4.0,ירושלים - 26.03.25-28.03.25.xls
030246-0003-016-00,2025-03-26,151875,151875,דירה בבית קומות,0.037,ירושלים,1970,83,4.0,ירושלים - 26.03.25-28.03.25.xls
030246-0003-016-00,2025-03-26,151875,151875,דירה בבית קומות,0.037,ירושלים,1970,83,4.0,ירושלים - 26.03.25-28.03.25.xls
030246-0003-016-00,2025-03-26,151875,151875,דירה בבית קומות,0.037,ירושלים,1970,83,4.0,ירושלים - 26.03.25-28.03.25.xls
030236-0118-039-00,2025-03-26,3681000,3681000,דירה בבית קומות,0.9,ירושלים,2000,95,0.0,ירושלים - 26.03.25-28.03.25.xls
030549-0087-011-00,2025-03-26,1000000,1000000,דירה בבית קומות,0.017,ירושלים,2024,116,3.0,ירושלים - 26.03.25-28.03.25.xls
030864-0014-194-00,2025-03-27,1483333,1483333,דירה בבית קומות,0.333,ירושלים,2014,104,4.0,ירושלים - 26.03.25-28.03.25.xls
030864-0014-194-00,2025-03-27,1483334,1483333,דירה בבית קומות,0.333,ירושלים,2014,104,4.0,ירושלים - 26.03.25-28.03.25.xls
030864-0014-194-00,2025-03-27,1483333,1483333,דירה בבית קומות,0.333,ירושלים,2014,104,4.0,ירושלים - 26.03.25-28.03.25.xls
028051-0002-005-00,2025-03-31,2300000,2300000,דירה בבית קומות,1.0,ירושלים,1985,90,5.0,ירושלים - 29.03.25-31.03.25.xls
030926-0078-001-00,2025-03-30,3870809,3870809,דירה בבית קומות,1.0,ירושלים,2024,132,5.0,ירושלים - 29.03.25-31.03.25.xls
030413-0079-001-00,2025-03-31,1475000,1475000,דירה בבית קומות,0.5,ירושלים,1970,78,4.0,ירושלים - 29.03.25-31.03.25.xls
030413-0079-001-00,2025-03-31,1475000,1475000,דירה בבית קומות,0.5,ירושלים,1970,78,4.0,ירושלים - 29.03.25-31.03.25.xls
031267-0034-026-00,2025-03-31,3100000,3100000,דירה בבית קומות,1.0,ירושלים,2029,94,4.0,ירושלים - 29.03.25-31.03.25.xls
030046-0111-000-00,2025-03-30,7899,7899,דירה בבית קומות,0.008,ירושלים,1930,75,3.0,ירושלים - 29.03.25-31.03.25.xls
030046-0111-000-00,2025-03-30,7899,7899,דירה בבית קומות,0.008,ירושלים,1930,75,3.0,ירושלים - 29.03.25-31.03.25.xls
030046-0111-000-00,2025-03-30,2633,2633,דירה בבית קומות,0.002,ירושלים,1930,75,3.0,ירושלים - 29.03.25-31.03.25.xls
030046-0111-000-00,2025-03-30,2633,2633,דירה בבית קומות,0.002,ירושלים,1930,75,3.0,ירושלים - 29.03.25-31.03.25.xls
030561-0049-000-00,2025-03-30,4000000,4000000,דירה בבית קומות,1.0,ירושלים,2022,98,4.0,ירושלים - 29.03.25-31.03.25.xls
030644-0012-011-00,2025-03-31,2675000,2675000,דירה בבית קומות,1.0,ירושלים,1970,69,4.0,ירושלים - 29.03.25-31.03.25.xls
030245-0198-007-00,2025-03-31,4400000,4400000,דירה בבית קומות,1.0,ירושלים,1970,79,4.0,ירושלים - 29.03.25-31.03.25.xls
030002-0093-043-00,2025-03-30,7072000,7072000,דירה בבית קומות,1.0,ירושלים,2029,135,4.0,ירושלים - 29.03.25-31.03.25.xls
028051-0048-067-00,2025-03-31,2000000,2000000,דירה בבית קומות,1.0,ירושלים,1970,72,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,522500,522500,דירה בבית קומות,0.11,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,475000,475000,דירה בבית קומות,0.1,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,475000,475000,דירה בבית קומות,0.1,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,475000,475000,דירה בבית קומות,0.1,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,332500,332500,דירה בבית קומות,0.07,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,332500,332500,דירה בבית קומות,0.07,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,332500,332500,דירה בבית קומות,0.07,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,332500,332500,דירה בבית קומות,0.07,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030040-0086-004-00,2025-03-30,332500,332500,דירה בבית קומות,0.07,ירושלים,1970,112,4.0,ירושלים - 29.03.25-31.03.25.xls
030287-0060-004-00,2025-03-31,5943850,5943850,דירה בבית קומות,1.0,ירושלים,2024,124,5.0,ירושלים - 29.03.25-31.03.25.xls
030161-0206-004-00,2025-03-31,2600000,2600000,דירה בבית קומות,1.0,ירושלים,1970,67,3.0,ירושלים - 29.03.25-31.03.25.xls
030287-0004-004-00,2025-03-30,3656200,3656200,דירה בבית קומות,1.0,ירושלים,2024,80,3.0,ירושלים - 29.03.25-31.03.25.xls
030413-0066-016-00,2025-03-31,3737000,3737000,דירה בבית קומות,1.0,ירושלים,2029,113,5.0,ירושלים - 29.03.25-31.03.25.xls
030246-0009-015-00,2025-03-31,900000,900000,דירה בבית קומות,1.0,ירושלים,1970,85,5.0,ירושלים - 29.03.25-31.03.25.xls
030246-0009-015-00,2025-03-31,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,85,5.0,ירושלים - 29.03.25-31.03.25.xls
030246-0009-025-00,2025-03-31,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,85,5.0,ירושלים - 29.03.25-31.03.25.xls
030246-0009-015-00,2025-03-31,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,85,5.0,ירושלים - 29.03.25-31.03.25.xls
030246-0009-015-00,2025-03-31,900000,900000,דירה בבית קומות,0.2,ירושלים,1970,85,5.0,ירושלים - 29.03.25-31.03.25.xls
030729-0003-025-00,2025-03-31,400000,400000,דירה בבית קומות,0.2,ירושלים,1980,90,4.0,ירושלים - 29.03.25-31.03.25.xls
030024-0122-004-00,2025-03-30,3000000,3000000,דירה בבית קומות,1.0,ירושלים,1960,51,3.0,ירושלים - 29.03.25-31.03.25.xls
031317-0008-000-00,2025-03-31,7300000,7300000,דירה בבית קומות,1.0,ירושלים,2017,101,4.0,ירושלים - 29.03.25-31.03.25.xls
010779-0084-014-00,2025-05-07,2800000,2800000,דירה בבית קומות,1.0,חיפה,2025,100,4.0,חיפה - 01.05.25-10.05.25.xls
012470-0014-008-00,2025-05-07,640000,640000,דירה בבית קומות,1.0,חיפה,1940,43,2.0,חיפה - 01.05.25-10.05.25.xls
010870-0050-000-00,2025-05-18,1400000,1400000,דירה בבית קומות,1.0,חיפה,1992,97,4.0,חיפה - 11.05.25-20.05.25.xls
012259-0082-003-00,2025-05-18,1645000,1645000,דירה בבית קומות,1.0,חיפה,1990,59,4.0,חיפה - 11.05.25-20.05.25.xls
011359-0081-064-00,2025-05-18,2800000,2800000,דירה בבית קומות,1.0,חיפה,2028,106,4.0,חיפה - 11.05.25-20.05.25.xls
011188-0175-006-00,2025-05-18,3475000,3475000,דירה בבית קומות,1.0,חיפה,2022,178,5.0,חיפה - 11.05.25-20.05.25.xls
012135-0025-000-00,2025-05-18,561666,561666,דירה בבית קומות,0.333,חיפה,2007,79,4.0,חיפה - 11.05.25-20.05.25.xls
012135-0025-000-00,2025-05-18,561666,561666,דירה בבית קומות,0.333,חיפה,2007,79,4.0,חיפה - 11.05.25-20.05.25.xls
012135-0025-000-00,2025-05-18,561666,561666,דירה בבית קומות,0.333,חיפה,2007,79,4.0,חיפה - 11.05.25-20.05.25.xls
011188-0175-022-00,2025-05-18,2810000,2810000,דירה בבית קומות,1.0,חיפה,2022,126,5.0,חיפה - 11.05.25-20.05.25.xls
011193-0222-067-00,2025-05-20,212500,212500,דירה בבית קומות,0.125,חיפה,1996,84,4.0,חיפה - 11.05.25-20.05.25.xls
010733-0111-047-00,2025-05-20,2500000,2500000,דירה בבית קומות,1.0,חיפה,2019,99,4.0,חיפה - 11.05.25-20.05.25.xls
011567-0043-000-00,2025-05-29,3200000,3200000,דירה בבית קומות,1.0,חיפה,2010,153,5.0,חיפה - 28.05.25-31.05.25.xls
011585-0016-005-00,2025-05-29,750000,750000,דירה בבית קומות,0.5,חיפה,1970,101,5.0,חיפה - 28.05.25-31.05.25.xls
011585-0016-005-00,2025-05-29,750000,750000,דירה בבית קומות,0.5,חיפה,1970,101,5.0,חיפה - 28.05.25-31.05.25.xls
011193-0306-000-00,2025-05-29,2680000,2680000,דירה בבית קומות,0.135,חיפה,2002,92,5.0,חיפה - 28.05.25-31.05.25.xls
011192-0273-045-00,2025-05-29,1100000,1100000,דירה בבית קומות,1.0,חיפה,1970,63,3.0,חיפה - 28.05.25-31.05.25.xls
010906-0203-122-00,2025-05-29,3700000,3700000,דירה בבית קומות,1.0,חיפה,2024,148,5.0,חיפה - 28.05.25-31.05.25.xls
010796-0157-032-00,2025-05-29,2050000,2050000,דירה בבית קומות,1.0,חיפה,1970,116,4.0,חיפה - 28.05.25-31.05.25.xls
010882-0165-002-00,2025-05-29,350000,350000,דירה בבית קומות,0.25,חיפה,1960,62,3.0,חיפה - 28.05.25-31.05.25.xls
